DIA,MES,AÑO,LECHE_PARA_QUESILLO (LTS),TOTAL_PROCESADO (LTS),PRODUCCION (QTY)
1,1,2019,0,0,0
2,1,2019,7.960,11.780,4.659
3,1,2019,6.360,8.360,3.699
4,1,2019,7.700,7.700,4.482
5,1,2019,5.600,5.600,3.305
6,1,2019,6.610,6.610,3.805
7,1,2019,6.672,6.672,3.870
8,1,2019,0,0,0
9,1,2019,9.600,11.650,5.671
10,1,2019,8.270,8.270,4.778
11,1,2019,6.800,6.800,3.995
12,1,2019,6.823,6.823,3.995
13,1,2019,7.000,7.000,4.083
14,1,2019,6.808,6.808,3.974
15,1,2019,0,0,0
16,1,2019,11.400,11.400,6.685
17,1,2019,9.350,9.350,5.407
18,1,2019,4.895,6.895,2.729
19,1,2019,6.855,6.855,4.041
20,1,2019,2.644,4.444,1.583
21,1,2019,7.692,7.692,4.642
22,1,2019,0,0,0
23,1,2019,9.200,11.200,5.365
24,1,2019,6.650,8.650,3.667
25,1,2019,6.678,6.678,3.955
26,1,2019,6.847,6.847,4.015
27,1,2019,6.168,6.168,3.637
28,1,2019,7.200,7.200,4.258
29,1,2019,0,0,0
30,1,2019,9.700,9.700,5.822
31,1,2019,8.380,8.380,4.957
1,2,2019,6.569,6.569,3.832
2,2,2019,6.661,6.661,3.948
3,2,2019,4.847,6.847,2.785
4,2,2019,6.988,6.988,4.130
5,2,2019,0,0,0
6,2,2019,9.900,11.900,5.805
7,2,2019,6.600,8.400,3.863
8,2,2019,7.586,7.586,4.515
9,2,2019,6.600,6.600,3.850
10,2,2019,5.669,7.519,3.376
11,2,2019,7.102,7.102,4.251
12,2,2019,0,0,0
13,2,2019,10.200,12.200,6.016
14,2,2019,7.264,9.264,4.238
15,2,2019,5.206,7.206,2.997
16,2,2019,4.960,6.960,2.968
17,2,2019,5.031,7.131,2.989
18,2,2019,4.870,6.970,2.805
19,2,2019,0,0,0
20,2,2019,9.930,11.930,5.734
21,2,2019,6.600,8.700,3.689
22,2,2019,7.045,7.045,4.085
23,2,2019,4.919,4.919,2.851
24,2,2019,4.983,4.983,2.844
25,2,2019,6.900,6.900,4.065
26,2,2019,0,0,0
27,2,2019,9.942,9.942,5.683
28,2,2019,6.600,6.600,3.823
1,3,2019,7.036,7.036,4.172
2,3,2019,5.130,6.930,2.911
3,3,2019,7.886,7.886,4.603
4,3,2019,0,0,0
5,3,2019,9.381,11.381,5.503
6,3,2019,7.548,9.348,4.096
7,3,2019,7.200,7.200,4.291
8,3,2019,4.898,6.998,2.925
9,3,2019,7.226,7.226,4.354
10,3,2019,7.226,7.226,4.323
11,3,2019,0,0,0
12,3,2019,9.850,11.950,5.785
13,3,2019,7.010,9.110,4.170
14,3,2019,6.988,6.988,4.205
15,3,2019,4.936,7.036,2.784
16,3,2019,2.900,6.800,1.722
17,3,2019,6.790,6.790,4.081
18,3,2019,0,0,0
19,3,2019,10.018,13.918,5.918
20,3,2019,4.847,6.847,2.882
21,3,2019,4.865,6.965,2.951
22,3,2019,4.680,6.780,2.801
23,3,2019,4.752,6.852,2.875
24,3,2019,6.770,6.770,4.056
25,3,2019,0,0,0
26,3,2019,9.610,13.560,5.730
27,3,2019,2.690,6.590,1.617
28,3,2019,4.601,6.701,2.792
29,3,2019,6.757,6.757,4.032
30,3,2019,4.925,6.725,2.996
31,3,2019,6.614,6.614,4.012
1,4,2019,0,0,0
2,4,2019,9.152,13.052,5.529
3,4,2019,4.383,6.483,2.616
4,4,2019,6.619,6.619,3.923
5,4,2019,2.719,6.619,1.647
6,4,2019,4.650,6.750,2.774
7,4,2019,6.574,6.574,3.933
8,4,2019,0,0,0
9,4,2019,9.222,9.222,5.595
10,4,2019,4.422,4.422,2.610
11,4,2019,4.550,4.550,2.756
12,4,2019,4.528,4.528,2.702
13,4,2019,6.528,6.528,3.857
14,4,2019,6.576,6.576,3.917
15,4,2019,0,0,0
16,4,2019,9.500,9.500,5.699
17,4,2019,4.596,4.596,2.769
18,4,2019,4.735,4.735,2.844
19,4,2019,4.591,4.591,2.722
20,4,2019,4.591,4.591,2.764
21,4,2019,6.645,6.645,3.991
22,4,2019,0,0,0
23,4,2019,9.304,9.304,5.610
24,4,2019,4.488,4.488,2.642
25,4,2019,4.488,4.488,2.674
26,4,2019,4.400,4.400,2.652
27,4,2019,6.457,6.457,3.928
28,4,2019,6.508,6.508,3.921
29,4,2019,0,0,0
30,4,2019,8.099,8.099,4.659
1,5,2019,3.600,7.500,2.108
2,5,2019,2.600,6.500,1.500
3,5,2019,4.180,6.280,2.388
4,5,2019,6.339,6.339,3.666
5,5,2019,6.280,6.280,3.608
6,5,2019,0,0,0
7,5,2019,8.781,12.681,5.145
8,5,2019,4.273,6.373,2.469
9,5,2019,6.042,6.042,3.604
10,5,2019,6.213,6.213,3.657
11,5,2019,4.355,6.155,2.443
